iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.004801099996257108,cmaes,0,large
2,0.0,0.0,False,0,0,0.005120899993926287,cmaes,0,large
3,0.0,0.0,False,0,0,0.0054199999940465204,cmaes,0,large
4,0.0,0.0,False,0,0,0.0057157999981427565,cmaes,0,large
5,0.0,0.0,False,0,0,0.006004399998346344,cmaes,0,large
6,0.0,0.0,False,0,0,0.006298299995251,cmaes,0,large
7,0.0,0.0,False,0,0,0.006608099996810779,cmaes,0,large
8,0.0,0.0,False,0,0,0.006957400000828784,cmaes,0,large
9,0.0,0.0,False,0,0,0.00729019999562297,cmaes,0,large
10,0.0,0.0,False,0,0,0.007605399994645268,cmaes,0,large
11,0.0,0.0,False,0,0,0.007893699999840464,cmaes,0,large
12,0.0,0.0,False,0,0,0.008186699997168034,cmaes,0,large
13,0.0,0.0,False,0,0,0.008471599998301826,cmaes,0,large
14,0.0,0.0,False,0,0,0.00877319999563042,cmaes,0,large
15,0.0,0.0,False,0,0,0.009104099997784942,cmaes,0,large
16,0.0,0.0,False,0,0,0.009418699999514502,cmaes,0,large
17,0.0,0.0,False,0,0,0.009705099997518118,cmaes,0,large
18,0.0,0.0,False,0,0,0.010957799997413531,cmaes,0,large
19,0.0,0.0,False,0,0,0.011290599999483675,cmaes,0,large
20,0.0,0.0,False,0,0,0.011593499999435153,cmaes,0,large
21,0.0,0.0,False,0,0,0.011891099995409604,cmaes,0,large
22,0.0,0.0,False,0,0,0.012255999994522426,cmaes,0,large
23,0.0,0.0,False,0,0,0.012601599999470636,cmaes,0,large
24,0.0,0.0,False,0,0,0.013080500000796746,cmaes,0,large
25,0.0,0.0,False,0,0,0.013422099997114856,cmaes,0,large
26,0.0,0.0,False,0,0,0.013731299994105939,cmaes,0,large
27,0.0,0.0,False,0,0,0.014049799996428192,cmaes,0,large
28,0.0,0.0,False,0,0,0.014380900000105612,cmaes,0,large
29,0.0,0.0,False,0,0,0.014769599998544436,cmaes,0,large
30,0.0,0.0,False,0,0,0.01510229999985313,cmaes,0,large
31,0.0,0.0,False,0,0,0.015405999998620246,cmaes,0,large
32,0.0,0.0,False,0,0,0.015742299998237286,cmaes,0,large
33,0.0,0.0,False,0,0,0.01606560000072932,cmaes,0,large
34,0.0,0.0,False,0,0,0.01640699999552453,cmaes,0,large
35,0.0,0.0,False,1,0,0.01679409999633208,cmaes,0,large
36,0.0,0.0,False,0,0,0.017126999999163672,cmaes,0,large
37,0.0,0.0,False,0,0,0.017445699995732866,cmaes,0,large
38,0.0,0.0,False,0,0,0.017758199996023905,cmaes,0,large
39,0.0,0.0,False,0,0,0.018070699996314943,cmaes,0,large
40,0.0,0.0,False,0,0,0.018389500000921544,cmaes,0,large
41,0.0,0.0,False,0,0,0.01870309999503661,cmaes,0,large
42,0.0,0.0,False,0,0,0.019027899994398467,cmaes,0,large
43,0.0,0.0,False,0,0,0.019384200000786223,cmaes,0,large
44,0.0,0.0,False,0,0,0.01969439999811584,cmaes,0,large
45,0.0,0.0,False,0,0,0.01998699999967357,cmaes,0,large
46,0.0,0.0,False,0,0,0.020273699999961536,cmaes,0,large
47,0.0,0.0,False,0,0,0.02055629999813391,cmaes,0,large
48,0.0,0.0,False,0,0,0.020838799995544832,cmaes,0,large
49,0.0,0.0,False,0,0,0.0211390999975265,cmaes,0,large
50,0.0,0.0,False,1,0,0.02143639999849256,cmaes,0,large
51,0.0,0.0,False,0,0,0.021729199994297232,cmaes,0,large
52,0.0,0.0,False,0,0,0.0220636999947601,cmaes,0,large
53,0.0,0.0,False,0,0,0.022401399997761473,cmaes,0,large
54,0.0,0.0,False,0,0,0.022744800000509713,cmaes,0,large
55,0.0,0.0,False,0,0,0.02304879999428522,cmaes,0,large
56,0.0,0.0,False,0,0,0.02333319999888772,cmaes,0,large
57,0.0,0.0,False,0,0,0.02362629999697674,cmaes,0,large
58,0.0,0.0,False,0,0,0.02391449999413453,cmaes,0,large
59,0.0,0.0,False,0,0,0.024206399997638073,cmaes,0,large
60,0.0,0.0,False,0,0,0.024498200000380166,cmaes,0,large
61,0.0,0.0,False,0,0,0.0247970999989775,cmaes,0,large
62,0.0,0.0,False,0,0,0.025098899997828994,cmaes,0,large
63,0.0,0.0,False,0,0,0.02540199999930337,cmaes,0,large
64,0.0,0.0,False,0,0,0.025708599998324644,cmaes,0,large
65,0.0,0.0,False,0,0,0.026001199999882374,cmaes,0,large
66,0.0,0.0,False,0,0,0.02630959999805782,cmaes,0,large
67,0.0,0.0,False,0,0,0.026630699998349883,cmaes,0,large
68,0.0,0.0,False,0,0,0.026959299997542985,cmaes,0,large
69,0.0,0.0,False,0,0,0.027251699997577816,cmaes,0,large
70,0.0,0.0,False,0,0,0.027542699994228315,cmaes,0,large
71,0.0,0.0,False,0,0,0.027867199998581782,cmaes,0,large
72,0.0,0.0,False,0,0,0.028173099999548867,cmaes,0,large
73,0.0,0.0,False,0,0,0.028462199996283744,cmaes,0,large
74,0.0,0.0,False,0,0,0.029056699997454416,cmaes,0,large
75,0.0,0.0,False,0,0,0.029841799994756002,cmaes,0,large
76,0.0,0.0,False,0,0,0.030324299994390458,cmaes,0,large
77,0.0,0.0,False,0,0,0.03080489999410929,cmaes,0,large
78,0.0,0.0,False,0,0,0.031165899999905378,cmaes,0,large
79,0.0,0.0,False,0,0,0.03153259999817237,cmaes,0,large
80,0.0,0.0,False,0,0,0.03188979999686126,cmaes,0,large
81,0.0,0.0,False,0,0,0.03223759999673348,cmaes,0,large
82,0.0,0.0,False,0,0,0.032594699994660914,cmaes,0,large
83,0.0,0.0,False,0,0,0.032950099994195625,cmaes,0,large
84,0.0,0.0,False,0,0,0.03331619999516988,cmaes,0,large
85,0.0,0.0,False,0,0,0.033695199999783654,cmaes,0,large
86,0.0,0.0,False,0,0,0.03410430000076303,cmaes,0,large
87,0.0,0.0,False,0,0,0.03441729999758536,cmaes,0,large
88,0.0,0.0,False,0,0,0.03473909999593161,cmaes,0,large
89,0.0,0.0,False,1,0,0.03506989999732468,cmaes,0,large
90,0.0,0.0,False,0,0,0.03544129999500001,cmaes,0,large
91,0.0,0.0,False,0,0,0.03578649999690242,cmaes,0,large
92,0.0,0.0,False,0,0,0.036092599999392405,cmaes,0,large
93,0.0,0.0,False,1,0,0.03643770000053337,cmaes,0,large
94,0.0,0.0,False,0,0,0.03678579999541398,cmaes,0,large
95,0.0,0.0,False,0,0,0.037191099996562116,cmaes,0,large
96,0.0,0.0,False,0,0,0.03750539999600733,cmaes,0,large
97,0.0,0.0,False,0,0,0.03780189999815775,cmaes,0,large
98,0.0,0.0,False,0,0,0.038095899995823856,cmaes,0,large
99,0.0,0.0,False,0,0,0.03838030000042636,cmaes,0,large
100,0.0,0.0,False,0,0,0.03868309999961639,cmaes,0,large
101,0.0,0.0,False,0,0,0.038976799994998146,cmaes,0,large
102,0.0,0.0,False,1,0,0.03927269999985583,cmaes,0,large
103,0.0,0.0,False,0,0,0.0395585999940522,cmaes,0,large
104,0.0,0.0,False,0,0,0.03985399999510264,cmaes,0,large
105,0.0,0.0,False,0,0,0.04019699999480508,cmaes,0,large
106,0.0,0.0,False,0,0,0.04049010000017006,cmaes,0,large
107,0.0,0.0,False,0,0,0.040777199996227864,cmaes,0,large
108,0.0,0.0,False,0,0,0.04106649999448564,cmaes,0,large
109,0.0,0.0,False,0,0,0.04135780000069644,cmaes,0,large
110,0.0,0.0,False,0,0,0.04164719999971567,cmaes,0,large
111,0.0,0.0,False,0,0,0.0419391999967047,cmaes,0,large
112,0.0,0.0,False,0,0,0.042231299994455185,cmaes,0,large
113,0.0,0.0,False,0,0,0.04253759999846807,cmaes,0,large
114,0.0,0.0,False,0,0,0.04318459999922197,cmaes,0,large
115,0.0,0.0,False,0,0,0.043617499999527354,cmaes,0,large
116,0.0,0.0,False,0,0,0.04394489999685902,cmaes,0,large
117,0.0,0.0,False,0,0,0.044391600000381004,cmaes,0,large
118,0.0,0.0,False,0,0,0.044735299998137634,cmaes,0,large
119,0.0,0.0,False,0,0,0.04504179999639746,cmaes,0,large
120,0.0,0.0,False,0,0,0.04536159999406664,cmaes,0,large
121,0.0,0.0,False,0,0,0.04570170000079088,cmaes,0,large
122,0.0,0.0,False,0,0,0.04601339999499032,cmaes,0,large
123,0.0,0.0,False,0,0,0.0463644999981625,cmaes,0,large
124,0.0,0.0,False,0,0,0.04667859999608481,cmaes,0,large
