iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.000980700016953051,random,0,medium
2,0.0,0.0,False,0,0,0.0011612999951466918,random,0,medium
3,0.0,0.0,False,0,0,0.0013160000089555979,random,0,medium
4,0.0,0.0,False,0,0,0.0014572000363841653,random,0,medium
5,0.0,0.0,False,0,0,0.0015969999367371202,random,0,medium
6,0.0,0.0,False,0,0,0.0017315000295639038,random,0,medium
7,0.0,0.0,False,0,0,0.0018653000006452203,random,0,medium
8,0.0,0.0,False,0,0,0.0019981999648734927,random,0,medium
9,0.0,0.0,False,0,0,0.0021332999458536506,random,0,medium
10,0.0,0.0,False,0,0,0.0022652000188827515,random,0,medium
11,0.0,0.0,False,0,0,0.002396399970166385,random,0,medium
12,0.0,0.0,False,1,0,0.002538600005209446,random,0,medium
13,0.0,0.0,False,0,0,0.002673199982382357,random,0,medium
14,0.0,0.0,False,0,0,0.002805599942803383,random,0,medium
15,0.0,0.0,False,0,0,0.0029362000059336424,random,0,medium
16,0.0,0.0,False,0,0,0.0030680999625474215,random,0,medium
17,0.0,0.0,False,0,0,0.003200200037099421,random,0,medium
18,0.0,0.0,False,0,0,0.0033372000325471163,random,0,medium
19,0.0,0.0,False,1,0,0.003474000026471913,random,0,medium
20,0.0,0.0,False,0,0,0.0036108000203967094,random,0,medium
21,0.0,0.0,False,0,0,0.0037450999952852726,random,0,medium
22,0.0,0.0,False,0,0,0.003876799950376153,random,0,medium
23,0.0,0.0,False,1,0,0.004011900047771633,random,0,medium
24,0.0,0.0,False,0,0,0.004146500024944544,random,0,medium
25,0.0,0.0,False,2,0,0.00428330001886934,random,0,medium
26,0.0,0.0,False,0,0,0.004416899988427758,random,0,medium
27,0.0,0.0,False,0,0,0.004549099947325885,random,0,medium
28,0.0,0.0,False,0,0,0.0046799000119790435,random,0,medium
29,0.0,0.0,False,0,0,0.004810999962501228,random,0,medium
30,0.0,0.0,False,0,0,0.004942400031723082,random,0,medium
31,0.0,0.0,False,0,0,0.005073699983768165,random,0,medium
32,0.0,0.0,False,0,0,0.005203900043852627,random,0,medium
33,0.0,0.0,False,0,0,0.00533519999589771,random,0,medium
34,0.0,0.0,False,0,0,0.005466499947942793,random,0,medium
35,0.0,0.0,False,0,0,0.005598400020971894,random,0,medium
36,0.0,0.0,False,0,0,0.005730099976062775,random,0,medium
37,0.0,0.0,False,0,0,0.005861200043000281,random,0,medium
38,0.0,0.0,False,0,0,0.0059914999874308705,random,0,medium
39,0.0,0.0,False,0,0,0.006121400045230985,random,0,medium
40,0.0,0.0,False,0,0,0.006251599988900125,random,0,medium
41,0.0,0.0,False,2,0,0.006388299982063472,random,0,medium
